name,username,password,phoneNumber,address,paymentStatus,timesAttended,timesPaid,timesUnpaid,getLoyaltyDisc,noSkip,multNoPay,AccountType,amountPaid,amountDue,monthlyRent,coachPayment,donations,profits,advancedPayment,latePayment
Peers Masterson,peers,password,4161262237,4145 Meadow Lane,0,47,46,1,1,0,0,member,30,10,250,200,750,1880,0,FALSE
Lorin Preston,lorinpreston,password,4161462257,3031 Crestview Terrace,0,45,40,5,1,1,1,member,30,10,,,,,0,TRUE
Freida Foster,freidafoster,password,4161142225,1395 Quilly Lane,1,45,42,3,1,1,1,member,20,20,,,,,0,TRUE
Alma Michaels,almam,password,4161412252,4259 Lucky Duck Drive,1,44,43,1,1,0,0,member,30,10,,,,,0,FALSE
Margo Kellogg,mkellogg,password,4161272238,1594 Hott Street,0,41,40,1,1,0,0,member,30,10,,,,,0,TRUE
Dexter Morgan,bhb,password,4161332244,1370 Hudson Street,1,40,40,0,1,0,0,member,40,0,,,,,1,FALSE
Hattie Royston,hattier,password,4161392250,4873 Mercer Street,0,39,38,1,1,1,0,member,30,10,,,,,0,TRUE
Rachel Trengove,racheltren,password,4161302241,2269 Gambler Lane,1,39,39,0,1,1,0,member,40,0,,,,,1,FALSE
Paisley Thomas,paisleythomas,password,4161432254,2026 Stone Lane,1,39,39,0,1,1,0,member,40,0,,,,,0,FALSE
Dan Dennis,ddennis,password,4161502261,1602 Holt Street,1,35,35,0,1,1,0,member,40,0,,,,,0,FALSE
Len Rains,rainydays,password,4161152226,2655 Hidden Valley Road,0,34,33,1,0,0,0,member,30,10,,,,,0,TRUE
Sibyl Fowler,sfowler,password,4161592270,3914 Jefferson Street,1,34,34,0,1,0,0,member,40,0,,,,,1,FALSE
Noelle Langley,langleyn,password,4161422253,387 Glen Falls Road,1,33,33,0,0,0,0,member,40,0,,,,,1,FALSE
Adrianna Caldwell,adriannac,password,4161192230,165 Jenna Lane,1,32,31,1,0,1,0,member,20,10,,,,,0,TRUE
